Deck Name,Meta Share,Win Rate vs Izzet Murktide,Win Rate vs Hammer Time,Win Rate vs Temur Creativity,Win Rate vs Burn,Win Rate vs Rakdos Scam,Win Rate vs Amulet Titan,Win Rate vs Temur Cascade,Win Rate vs Living End,Win Rate vs Golgari Yawgmoth,Win Rate vs Azorious Control,Win Rate vs Merfolk
Izzet Murktide,17.18,50,38.3,45.2,61.6,65.1,53.7,48.5,49,43.5,45.2,59.3
Hammer Time,13.84,61.7,50,46.4,59.8,58.7,43.1,44.4,36,35.4,40,68.4
Temur Creativity,12.19,54.8,53.6,50,52.9,61.9,59.5,45.2,35.1,59.1,57.1,75
Burn,9.42,38.4,40.2,47.1,50,45.2,20.5,43.1,40.5,42.1,40.5,58.3
Rakdos Scam,9.34,34.9,41.3,38.1,54.8,50,52.6,7.7,52.3,35.7,69,70.6
Amulet Titan,7.44,46.3,56.9,42.3,79.5,47.4,50,42.3,56,33,39.3,59.2
Temur Cascade,7.21,51.5,55.6,54.8,56.9,92.3,57.7,50,42.4,66.7,37,67.8
Living End,5.98,51,64,64.9,59.5,47.7,44,57.6,50,52,44.4,46.8
Golgari Yawgmoth,5.89,56.5,64.6,40.9,57.9,64.3,67,33.3,48,50,58.7,58.7
Azorious Control,5.85,54.8,60,42.9,59.5,31,60.7,63,55.6,41.3,50,58.8
Merfolk,5.66,41.7,32.6,25,42.7,29.4,40.8,22.2,43.2,41.3,41.2,50